run_id,__done,python_file,total_energy_joules,execution_time_seconds,avg_power_watts,max_power_watts,min_power_watts,cpu_usage_avg,memory_usage_avg,results_set,benchmark,variant,log_path,energy_joules_log,exec_time_sec_log,energy_joules,exec_time_sec
run_28_repetition_0,DONE,kmeans/kmeans.py,4.063,0,3.995,5.015,3.587,16.028,38.512,results_1,kmeans,BASELINE,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_28_repetition_0/energibridge.log,4.062992638587952,1.0686779,4.063,0
run_29_repetition_0,DONE,kmeans/kmeans_G1.py,3.76,0,3.598,3.684,3.564,18.36,38.58,results_1,kmeans,G1,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_29_repetition_0/energibridge.log,3.7599503250122064,1.0678476,3.76,0
run_30_repetition_0,DONE,kmeans/kmeans_G12.py,4.344,0,3.482,7.583,2.834,28.033,38.731,results_1,kmeans,G12,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_30_repetition_0/energibridge.log,4.344374137163162,1.4726627,4.344,0
run_31_repetition_0,DONE,kmeans/kmeans_G14.py,3.046,0,2.899,2.97,2.805,18.628,38.372,results_1,kmeans,G14,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_31_repetition_0/energibridge.log,3.046110676765442,1.0678089,3.046,0
run_32_repetition_0,DONE,kmeans/kmeans_G3.py,3.074,0,2.983,3.23,2.797,18.635,38.378,results_1,kmeans,G3,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_32_repetition_0/energibridge.log,3.0743246161937714,1.0518005,3.074,0
run_33_repetition_0,DONE,kmeans/kmeans_G6.py,2.872,0,2.943,4.175,2.738,17.916,38.406,results_1,kmeans,G6,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_33_repetition_0/energibridge.log,2.8720113511085508,1.0693337,2.872,0
run_34_repetition_0,DONE,kmeans/kmeans_G7.py,2.933,0,2.797,2.82,2.766,25.047,38.464,results_1,kmeans,G7,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_34_repetition_0/energibridge.log,2.932789178848267,1.0619975,2.933,0
run_35_repetition_0,DONE,kmeans/kmeans_G9.py,3.068,0,2.956,3.286,2.709,18.104,38.425,results_1,kmeans,G9,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_35_repetition_0/energibridge.log,3.0676713750362397,1.0613753,3.068,0
run_36_repetition_0,DONE,kmeans/kmeans_OPTIMIZED.py,3.772,0,3.112,4.154,2.764,28.863,38.785,results_1,kmeans,OPTIMIZED,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_36_repetition_0/energibridge.log,3.772384579896927,1.278245,3.772,0
run_37_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis.py,0.571,0,2.706,2.718,2.681,17.648,38.291,results_1,linear_discriminant_analysis,BASELINE,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_37_repetition_0/energibridge.log,0.570852084159851,0.2283185,0.571,0
run_38_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_G1.py,0.538,0,2.696,2.708,2.689,15.298,38.323,results_1,linear_discriminant_analysis,G1,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_38_repetition_0/energibridge.log,0.5378940582275391,0.21633738,0.538,0
run_39_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_G12.py,0.537,0,2.634,2.634,2.634,15.364,38.316,results_1,linear_discriminant_analysis,G12,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_39_repetition_0/energibridge.log,0.5374040079116821,0.22201775,0.537,0
run_40_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_G14.py,0.555,0,2.645,2.645,2.645,19.936,38.336,results_1,linear_discriminant_analysis,G14,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_40_repetition_0/energibridge.log,0.5553867101669311,0.23244366,0.555,0
run_41_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_G3.py,0.521,0,2.517,2.517,2.517,17.828,38.319,results_1,linear_discriminant_analysis,G3,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_41_repetition_0/energibridge.log,0.5210878880023956,0.22485684,0.521,0
run_42_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_G4.py,0.518,0,2.576,2.576,2.576,16.857,38.328,results_1,linear_discriminant_analysis,G4,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_42_repetition_0/energibridge.log,0.5178425109386444,0.21728772,0.518,0
run_43_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_G6.py,0.692,0,3.296,3.296,3.296,25.072,38.32,results_1,linear_discriminant_analysis,G6,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_43_repetition_0/energibridge.log,0.6920933103561401,0.22860654,0.692,0
run_44_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_G7.py,0.54,0,2.681,2.685,2.672,18.626,38.368,results_1,linear_discriminant_analysis,G7,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_44_repetition_0/energibridge.log,0.5396815860271454,0.21520792,0.54,0
run_45_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_G9.py,0.537,0,2.571,2.571,2.571,18.929,38.362,results_1,linear_discriminant_analysis,G9,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_45_repetition_0/energibridge.log,0.5372456901073456,0.2251815,0.537,0
run_46_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_OPTIMIZED.py,0.525,0,2.588,2.588,2.588,14.996,38.364,results_1,linear_discriminant_analysis,OPTIMIZED,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_46_repetition_0/energibridge.log,0.5253229696750641,0.2229177,0.525,0
run_47_repetition_0,DONE,n_body_simulation/n_body_simulation.py,1.044,0,2.533,2.533,2.533,20.06,38.356,results_1,n_body_simulation,BASELINE,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_47_repetition_0/energibridge.log,1.0435950145721435,0.42943946,1.044,0
