run_id,__done,python_file,total_energy_joules,execution_time_seconds,avg_power_watts,max_power_watts,min_power_watts,cpu_usage_avg,memory_usage_avg,results_set,benchmark,variant,log_path,energy_joules_log,exec_time_sec_log,energy_joules,exec_time_sec,is_outlier,energy_z_score,energy_normalized,baseline_energy_run,pct_vs_baseline_run,efficiency_ratio,calculated_power,power_final
run_23_repetition_0,DONE,convolution_neural_network/convolution_neural_network_G3.py,1.244,0,3.006,3.006,3.006,13.942,38.54,results_1,convolution_neural_network,G3,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_23_repetition_0/energibridge.log,1.2444560837745664,0.43476576,1.244,0,FALSE,-0.11761290564189311,0.45405767940979214,1.396,-10.888252148997129,0.8911174785100288,2.8613108815192807,3.006
run_24_repetition_0,DONE,convolution_neural_network/convolution_neural_network_G4.py,0.598,0,2.847,2.847,2.847,10.945,38.572,results_1,convolution_neural_network,G4,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_24_repetition_0/energibridge.log,0.5979417729377746,0.23058647,0.598,0,FALSE,-2.1566048424325808,0.02079141515761236,1.396,-57.163323782234954,0.42836676217765046,2.5933872009055867,2.847
run_25_repetition_0,DONE,convolution_neural_network/convolution_neural_network_G6.py,1.176,0,2.806,2.806,2.806,16.636,38.576,results_1,convolution_neural_network,G6,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_25_repetition_0/energibridge.log,1.175674438238144,0.43398336,1.176,0,FALSE,-0.33224363583038674,0.4084507042253521,1.396,-15.759312320916905,0.8424068767908309,2.709781315117704,2.806
run_26_repetition_0,DONE,convolution_neural_network/convolution_neural_network_G7.py,1.584,0,3.864,3.864,3.864,14.913,38.612,results_1,convolution_neural_network,G7,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_26_repetition_0/energibridge.log,1.58414169549942,0.43088052,1.584,0,FALSE,0.9555407453005743,0.6820925553319921,1.396,13.46704871060173,1.1346704871060174,3.6761931126522036,3.864
run_27_repetition_0,DONE,convolution_neural_network/convolution_neural_network_OPTIMIZED.py,1.206,0,2.878,2.878,2.878,15.544,38.621,results_1,convolution_neural_network,OPTIMIZED,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_27_repetition_0/energibridge.log,1.2060503358840942,0.43985093,1.206,0,FALSE,-0.2375536078060513,0.4285714285714286,1.396,-13.610315186246416,0.8638968481375359,2.7418380131650513,2.878
run_28_repetition_0,DONE,kmeans/kmeans.py,4.063,0,3.995,5.015,3.587,16.028,38.512,results_1,kmeans,BASELINE,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_28_repetition_0/energibridge.log,4.062992638587952,1.0686779,4.063,0,FALSE,1.1222804726175843,0.5042073375967687,4.063,0,1,3.8018939102230895,3.995
run_29_repetition_0,DONE,kmeans/kmeans_G1.py,3.76,0,3.598,3.684,3.564,18.36,38.58,results_1,kmeans,G1,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_29_repetition_0/energibridge.log,3.7599503250122064,1.0678476,3.76,0,TRUE,0.6644158293052727,0.4022214742510939,4.063,-7.457543686930839,0.9254245631306917,3.5211017002800777,3.598
run_30_repetition_0,DONE,kmeans/kmeans_G12.py,4.344,0,3.482,7.583,2.834,28.033,38.731,results_1,kmeans,G12,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_30_repetition_0/energibridge.log,4.344374137163162,1.4726627,4.344,0,FALSE,1.5469008183956696,0.5987882867721308,4.063,6.916071868077791,1.0691607186807779,2.949758963814321,3.482
run_31_repetition_0,DONE,kmeans/kmeans_G14.py,3.046,0,2.899,2.97,2.805,18.628,38.372,results_1,kmeans,G14,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_31_repetition_0/energibridge.log,3.046110676765442,1.0678089,3.046,0,FALSE,-0.414512736123739,0.16189835072366204,4.063,-25.030765444253017,0.7496923455574699,2.852570342876895,2.899
run_32_repetition_0,DONE,kmeans/kmeans_G3.py,3.074,0,2.983,3.23,2.797,18.635,38.378,results_1,kmeans,G3,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_32_repetition_0/energibridge.log,3.0743246161937714,1.0518005,3.074,0,FALSE,-0.37220181198926794,0.17132278694042408,4.063,-24.34161949298548,0.7565838050701452,2.9226074716640658,2.983
run_33_repetition_0,DONE,kmeans/kmeans_G6.py,2.872,0,2.943,4.175,2.738,17.916,38.406,results_1,kmeans,G6,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_33_repetition_0/energibridge.log,2.8720113511085508,1.0693337,2.872,0,FALSE,-0.677444907530809,0.10333221137664085,4.063,-29.3133152842727,0.706866847157273,2.6857846152234797,2.943
run_34_repetition_0,DONE,kmeans/kmeans_G7.py,2.933,0,2.797,2.82,2.766,25.047,38.464,results_1,kmeans,G7,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_34_repetition_0/energibridge.log,2.932789178848267,1.0619975,2.933,0,FALSE,-0.5852675370949971,0.12386401884887241,4.063,-27.81196160472557,0.7218803839527442,2.761776746178781,2.797
run_35_repetition_0,DONE,kmeans/kmeans_G9.py,3.068,0,2.956,3.286,2.709,18.104,38.425,results_1,kmeans,G9,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_35_repetition_0/energibridge.log,3.0676713750362397,1.0613753,3.068,0,FALSE,-0.38126843858951137,0.16930326489397515,4.063,-24.489293625399945,0.7551070637460006,2.8905892194777856,2.956
run_36_repetition_0,DONE,kmeans/kmeans_OPTIMIZED.py,3.772,0,3.112,4.154,2.764,28.863,38.785,results_1,kmeans,OPTIMIZED,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_36_repetition_0/energibridge.log,3.772384579896927,1.278245,3.772,0,FALSE,0.6825490825057603,0.4062605183439919,4.063,-7.162195422101894,0.9283780457789811,2.950920989325207,3.112
run_37_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis.py,0.571,0,2.706,2.718,2.681,17.648,38.291,results_1,linear_discriminant_analysis,BASELINE,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_37_repetition_0/energibridge.log,0.570852084159851,0.2283185,0.571,0,FALSE,0.41481956457188823,0.16666666666666663,0.571,0,1,2.500892393739447,2.706
run_38_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_G1.py,0.538,0,2.696,2.708,2.689,15.298,38.323,results_1,linear_discriminant_analysis,G1,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_38_repetition_0/energibridge.log,0.5378940582275391,0.21633738,0.538,0,FALSE,-0.046712654945047706,0.10555555555555567,0.571,-5.779334500875643,0.9422066549912436,2.4868564091882783,2.696
run_39_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_G12.py,0.537,0,2.634,2.634,2.634,15.364,38.316,results_1,linear_discriminant_analysis,G12,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_39_repetition_0/energibridge.log,0.5374040079116821,0.22201775,0.537,0,FALSE,-0.060698479778894296,0.10370370370370381,0.571,-5.954465849387026,0.9404553415061297,2.418725529828133,2.634
run_40_repetition_0,DONE,linear_discriminant_analysis/linear_discriminant_analysis_G14.py,0.555,0,2.645,2.645,2.645,19.936,38.336,results_1,linear_discriminant_analysis,G14,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_40_repetition_0/energibridge.log,0.5553867101669311,0.23244366,0.555,0,FALSE,0.19104636723034435,0.13703703703703718,0.571,-2.80210157618212,0.9719789842381789,2.3876753618489746,2.645
