benchmark,variant,n_runs,energy_mean,energy_median,energy_sd,energy_iqr,energy_cv,baseline_energy_mean,energy_pct_vs_baseline,energy_median_pct_vs_baseline,power_mean,power_pct_vs_baseline,time_mean,time_pct_vs_baseline,cpu_mean,memory_mean,outlier_rate
convolution_neural_network,G6,10,1.2022,1.164,0.10892790684158442,0.026499999999999968,9.06071426065417,1.5022,-19.970709625882044,-20.00000000000001,2.9068,-19.331742243436757,0,NA,16.9919,39.3279,10
convolution_neural_network,G7,10,1.4012,1.343,0.31096259153366557,0.42100000000000026,22.19259145972492,1.5022,-6.723472240713618,-7.6975945017182195,3.3779,-6.257978575789538,0,NA,16.4527,39.3424,0
convolution_neural_network,OPTIMIZED,10,1.3224,1.2195,0.20872161150947238,0.25249999999999995,15.783545939917754,1.5022,-11.969111969111966,-16.185567010309278,3.1709,-12.002553144252651,0,NA,17.8029,39.377700000000004,0
kmeans,BASELINE,10,3.2076000000000002,3.013,0.43346669742643174,0.4552500000000004,13.513739164061345,3.2076000000000002,0,0,3.1635,0,0,NA,18.8239,39.4814,10
kmeans,G1,10,3.093,2.965,0.3393677127312562,0.16000000000000014,10.97212132981753,3.2076000000000002,-3.572764683875803,-1.5930965814802536,3.0389,-3.9386755176228876,0,NA,19.2092,39.4832,20
kmeans,G12,10,4.5152,4.5255,0.373151384233739,0.24425000000000008,8.264337886112221,3.2076000000000002,40.76568150642224,50.19913707268504,3.3033,4.4191559981033715,0,NA,25.8599,39.6887,20
kmeans,G14,10,3.1832000000000003,3.024,0.40254656045398457,0.2150000000000003,12.645971363847213,3.2076000000000002,-0.7606933532859451,0.36508463325589513,3.0657,-3.0915125651967723,0,NA,18.477800000000002,39.483,20
kmeans,G3,10,3.0032,3.0025000000000004,0.23953324983763263,0.23374999999999968,7.975933998322876,3.2076000000000002,-6.372365631624895,-0.34848987719878893,2.9362,-7.1850798166587655,0,NA,19.7548,39.4735,10
kmeans,G6,10,2.983,2.877,0.24712524939570396,0.2019999999999995,8.284453549973314,3.2076000000000002,-7.002119965082931,-4.513773647527385,2.9227,-7.611822348664458,0,NA,19.3853,39.4944,10
kmeans,G7,10,2.8183,2.8040000000000003,0.13199920033427806,0.12699999999999934,4.683646181537738,3.2076000000000002,-12.136800099763075,-6.93660803186192,2.7704,-12.426110320847163,0,NA,19.8086,39.5149,10
kmeans,G9,10,2.8963,2.8884999999999996,0.23133864066918575,0.30174999999999974,7.987385307778398,3.2076000000000002,-9.70507544581619,-4.132094258214414,2.8383,-10.27975343764818,0,NA,19.2944,39.5119,0
kmeans,OPTIMIZED,10,4.183,4.056,0.5597279100896553,0.4602499999999994,13.381016258418727,3.2076000000000002,30.409028557176693,34.61666113508132,3.2097,1.4604077761972576,0,NA,26.4022,39.7519,10
linear_discriminant_analysis,BASELINE,10,0.5371,0.5345,0.02189596614295274,0.02674999999999994,4.076701944321865,0.5371,0,0,2.5897,0,0,NA,17.8179,39.3741,0
linear_discriminant_analysis,G1,10,0.5431,0.5365,0.04710142720177856,0.015499999999999958,8.672698803494487,0.5371,1.1171104077452998,0.37418147801683854,2.624,1.3244777387342161,0,NA,18.698,39.3964,20
linear_discriminant_analysis,G12,10,0.5315,0.5325,0.030071211777674967,0.033499999999999974,5.657800898904039,0.5371,-1.042636380562288,-0.37418147801683854,2.5745,-0.5869405722670619,0,NA,17.314700000000002,39.3507,10
linear_discriminant_analysis,G14,10,0.5325,0.5275000000000001,0.021884799392373793,0.030749999999999944,4.109821482135924,0.5371,-0.8564513126047381,-1.309635173058914,2.5907999999999998,0.04247596246668173,0,NA,17.8662,39.3777,0
linear_discriminant_analysis,G3,10,0.5237,0.529,0.0261068318006354,0.04025000000000001,4.985073859200954,0.5371,-2.494879910631161,-1.0289990645462954,2.5288,-2.3516237402015747,0,NA,17.599800000000002,39.3648,0
linear_discriminant_analysis,G4,10,0.5224,0.521,0.022051454978451342,0.017750000000000044,4.22118204028548,0.5371,-2.7369204989759908,-2.52572497661365,2.5169,-2.81113642506854,0,NA,16.615099999999998,39.3719,20
linear_discriminant_analysis,G6,10,0.6088,0.531,0.16481963205610886,0.16175000000000006,27.072869917232072,0.5371,13.34946937255632,-0.654817586529457,2.9554,14.12132679460941,0,NA,16.5681,39.3551,10
linear_discriminant_analysis,G7,10,0.5301,0.516,0.06181774286831679,0.04575000000000001,11.661524781799054,0.5371,-1.3032954757028496,-3.4611786716557456,2.5592,-1.1777425956674505,0,NA,19.3786,39.4217,10
linear_discriminant_analysis,G9,10,0.5538,0.502,0.09977619399881361,0.03950000000000009,18.016647525968512,0.5371,3.10929063489107,-6.080449017773615,2.6736,3.2397575008688206,0,NA,17.1485,39.4554,20
linear_discriminant_analysis,OPTIMIZED,10,0.5304,0.509,0.05983718650545736,0.02650000000000008,11.281520834362247,0.5371,-1.2474399553155908,-4.770813844714681,2.5514,-1.4789357840676527,0,NA,15.2908,39.4586,10
n_body_simulation,BASELINE,10,1.1009,1.0554999999999999,0.13735311346226475,0.09725000000000006,12.47643868310153,1.1009,0,0,2.6412,0,0,NA,18.8071,39.508,20
n_body_simulation,G1,10,1.1228,1.0295,0.1831294624029678,0.31400000000000017,16.31006968319984,1.1009,1.989281496957038,-2.4632875414495317,2.7079,2.5253672573072836,0,NA,19.6619,39.5158,0
n_body_simulation,G12,10,4.3059,4.1259999999999994,0.4390948897701069,0.28449999999999953,10.197517122323019,1.1009,291.1254428195113,290.9047844623401,3.059,15.818567317885815,0,NA,39.3375,39.9455,20
n_body_simulation,G14,10,1.025,0.9975,0.1119315266878223,0.05124999999999991,10.920148945153397,1.1009,-6.894359160686718,-5.495026054002826,2.4722,-6.398606693927005,0,NA,20.902,39.516,10
n_body_simulation,G3,10,1.0422,1.0085,0.1262790560623574,0.08800000000000008,12.116585690112972,1.1009,-5.332001090017256,-4.452865940312642,2.5191,-4.6228986824170875,0,NA,18.613699999999998,39.5271,10
n_body_simulation,G4,10,1.0054,0.971,0.10323780530621736,0.08599999999999997,10.268331540304093,1.1009,-8.674720683077474,-8.00568450971103,2.4229000000000003,-8.26518249280629,0,NA,21.0596,39.5379,10
n_body_simulation,G6,10,1.0046,0.9784999999999999,0.09856210675959032,0.07125000000000015,9.81107970929627,1.1009,-8.747388500317927,-7.295120795831355,2.4215999999999998,-8.314402544298055,0,NA,19.0689,39.4934,10
n_body_simulation,G7,10,1.0306,0.9784999999999999,0.13202541842808568,0.04125000000000001,12.810539339034124,1.1009,-6.3856844400036366,-7.295120795831355,2.4804,-6.088141753748298,0,NA,19.1616,39.498,20
n_body_simulation,G9,10,1.0607,0.9684999999999999,0.22116311225478405,0.025250000000000106,20.850675238501374,1.1009,-3.6515578163320934,-8.242539081004262,2.5603,-3.0630016659094426,0,NA,21.2408,39.4828,20
n_body_simulation,OPTIMIZED,10,1.0034,0.9795,0.10544424540433149,0.04600000000000004,10.508694977509615,1.1009,-8.856390226178574,-7.200378967314055,2.4211,-8.333333333333332,0,NA,18.6259,39.4797,10
sequential_minimum_optimization,BASELINE,10,342.5483,340.26250000000005,11.257881832051902,5.918000000000006,3.2865093278967965,342.5483,0,0,9.7391,0,0,NA,20.698900000000002,39.856,10
sequential_minimum_optimization,G1,10,345.3258,336.1945,16.701840429525532,15.099749999999972,4.836545786479183,342.5483,0.8108345596810821,-1.1955475551963675,9.8052,0.678707478103713,0,NA,20.6888,39.9782,10
sequential_minimum_optimization,G14,10,342.8097,340.6035,8.243132967641744,11.208749999999952,2.404579849298822,342.5483,0.07631040644488307,0.1002167444252456,9.7008,-0.39326015750943444,0,NA,20.3335,39.7838,0
sequential_minimum_optimization,G3,10,325.554,324.568,4.1234114516987015,3.6087499999999864,1.2665829483583988,342.5483,-4.9611397867103735,-4.6124683149039525,9.5333,-2.1131316035362606,0,NA,20.6115,39.7745,10
sequential_minimum_optimization,G4,10,335.5816,336.42100000000005,8.53424856029451,4.762250000000051,2.5431217207065315,342.5483,-2.033786184313279,-1.1289813012012773,9.5291,-2.156256738302316,0,NA,19.6723,39.7775,20
sequential_minimum_optimization,G6,10,336.0312,336.1225,10.25669512291578,3.947499999999934,3.0523044059348594,342.5483,-1.902534620665165,-1.2167076889166577,9.4886,-2.5721062521177585,0,NA,18.7088,39.7309,30
sequential_minimum_optimization,G7,10,26.7928,27.47,2.099844745583719,1.9537499999999994,7.8373471439480715,342.5483,-92.17838769014472,-91.92682120421732,6.8337,-29.832325368873917,0,NA,19.1179,39.7303,10
sequential_minimum_optimization,OPTIMIZED,10,13.9432,13.6585,2.1159490016958764,2.38575,15.175490573870249,342.5483,-95.92956672095585,-95.98589324418647,5.3556,-45.00929243975316,0,NA,20.0242,39.7327,10
sol1,BASELINE,10,0.9041,0.9515,0.13287960298288404,0.025499999999999967,14.69744530282978,0.9041,0,0,2.1914,0,0,NA,18.3301,39.4278,30
sol1,G1,10,0.8876999999999999,0.9265,0.13220022692870081,0.056499999999999995,14.892444173560982,0.9041,-1.8139586328946002,-2.627430373095115,2.1604,-1.4146207903623116,0,NA,18.7186,39.4445,10
sol1,G12,10,79.775,80.493,3.321638718731732,2.525750000000002,4.16375897051925,0.9041,8723.692069461344,8359.590120861798,11.4904,424.3406041799763,0,NA,24.1925,40.2695,10
sol1,G14,10,1.1466,1.1945,0.338737262983176,0.4655,29.542757978647828,0.9041,26.822254175423076,25.538623226484486,2.1299,-2.8064251163639535,0,NA,15.6137,39.4714,0
sol1,G3,10,0.9482,0.9504999999999999,0.3020624659459254,0.05074999999999996,31.856408557891307,0.9041,4.877779006747044,-0.10509721492381627,2.2804,4.061330656201534,0,NA,16.313299999999998,39.3999,30
sol1,G4,10,1.0207,0.957,0.2910593868382647,0.24175000000000002,28.51566443012293,0.9041,12.896803450945685,0.5780346820809196,2.4891,13.584922880350476,0,NA,17.8171,39.4113,20
sol1,G6,10,0.9419,0.9215,0.2169779558695614,0.05174999999999996,23.036198733364625,0.9041,4.180953434354601,-3.152916447714138,2.3011,5.005932280733784,0,NA,19.5099,39.4296,40
sol1,G7,10,1.0142,0.937,0.3662909590293851,0.03949999999999987,36.11624522080311,0.9041,12.177856431810637,-1.5239096163951609,2.5793,17.701013051017622,0,NA,17.3512,39.5095,40
sol1,G9,10,1.0261,0.98,0.21958063565705324,0.048250000000000126,21.399535684343945,0.9041,13.49408251299635,2.9952706253284256,2.4716,12.78634662772658,0,NA,19.2403,39.5285,30
